Area,Population,ViolentCrime,ViolentCrimePer100000,,
,,-8.6,-9.0,,
     Texas,"28,628,666","118,197",412.9,,
,"28,995,881","121,474",418.9,,
,,2.8,1.5,,
West,"77,834,820","330,924",425.2,,
,"78,347,268","323,966",413.5,,
,,-2.1,-2.7,,
Mountain,"24,511,745","108,278",441.7,,
,"24,854,998","104,878",422.0,,
,,-3.1,-4.5,,
     Arizona,"7,158,024","34,053",475.7,,
,"7,278,717","33,141",455.3,,
,,-2.7,-4.3,,
     Colorado,"5,691,287","22,851",401.5,,
,"5,758,736","21,938",381.0,,
,,-4.0,-5.1,,
     Idaho,"1,750,536","4,196",239.7,,
,"1,787,065","4,000",223.8,,
,,-4.7,-6.6,,
     Montana,"1,060,665","4,040",380.9,,
,"1,068,778","4,328",404.9,,
,,7.1,6.3,,
     Nevada,"3,027,341","16,715",552.1,,
,"3,080,156","15,210",493.8,,
,,-9.0,-10.6,,
     New Mexico,"2,092,741","17,637",842.8,,
,"2,096,829","17,450",832.2,,
,,-1.1,-1.3,,
     Utah,"3,153,550","7,551",239.4,,
,"3,205,958","7,553",235.6,,
,,*,-1.6,,
     Wyoming,"577,601","1,235",213.8,,
,"578,759","1,258",217.4,,
,,1.9,1.7,,
Pacific,"53,323,075","222,646",417.5,,
,"53,492,270","219,088",409.6,,
,,-1.6,-1.9,,
     Alaska,"735,139","6,555",891.7,,
,"731,545","6,343",867.1,,
, ,-3.2,-2.8,,
     California,"39,461,588","176,604",447.5,,
,"39,512,223","174,331",441.2,,
,,-1.3,-1.4,,
     Hawaii,"1,420,593","3,622",255.0,,
,"1,415,872","4,042",285.5,,
,,11.6,12.0,,
     Oregon,"4,181,886","12,146",290.4,,
,"4,217,737","11,995",284.4,,
,,-1.2,-2.1,,
     Washington,"7,523,869","23,719",315.3,,
,"7,614,893","22,377",293.9,,
,,-5.7,-6.8,,
Puerto Rico ,"3,193,354","6,417",200.9,,
,"3,193,694","6,479",202.9,,
, ,1.0,1.0,,
